Name,Bloomberg,Price,RepoRate,almRate,LCR,RWA,BorrowRate,Tier,IndLoanRate,Currency
A,A:US,5,0.07,0.14,0.09,0.07,0.1,1,0.06,USD
AA,AA:US,20,0.1,0.2,0.11,0.05,0.04,1,0.05,USD
AAPL,AAPL:US,15,0.19,0.2,0.07,0.2,0.16,1,0.01,USD
ABC,ABC:US,3,0.15,0.13,0.06,0.07,0.18,1,0.07,USD
ABT,ABT:US,66,0.05,0.08,0.02,0.02,0.1,1,0.05,USD
ACE,ACE:US,51,0.06,0.11,0.05,0.15,0.09,1,0.09,USD
ACN,ACN:US,2,0.08,0.09,0.18,0.16,0.1,1,0.07,USD
ADBE,ADBE:US,75,0.09,0.2,0.17,0.11,0.04,1,0.14,USD
ADI,ADI:US,8,0.1,0.02,0.04,0.17,0.19,1,0.13,USD
ADM,ADM:US,17,0.05,0.2,0.12,0.11,0.13,1,0.14,USD
ADP,ADP:US,59,0.16,0.12,0.15,0.04,0.1,1,0.15,USD
ADSK,ADSK:US,8,0.2,0.06,0.07,0.12,0.11,1,0.02,USD
ADT,ADT:US,52,0.02,0.06,0.11,0.19,0.05,1,0.2,USD
AEE,AEE:US,68,0.1,0.19,0.05,0.06,0.08,1,0.12,USD
AEP,AEP:US,94,0.18,0.17,0.03,0.11,0.18,1,0.12,USD
AES,AES:US,100,0.06,0.11,0.02,0.07,0.04,1,0.12,USD
AET,AET:US,28,0.09,0.19,0.05,0.15,0.02,1,0.11,USD
AFL,AFL:US,14,0.07,0.18,0.01,0.07,0.03,1,0.06,USD
AGN,AGN:US,23,0.01,0.11,0.03,0.09,0.16,1,0.13,USD
AIG,AIG:US,11,0.19,0.19,0.17,0.14,0.03,1,0.09,USD
AIV,AIV:US,88,0.16,0.06,0.04,0.02,0.15,1,0.14,USD
AIZ,AIZ:US,80,0.04,0.1,0.04,0.17,0.08,1,0.12,USD
AKAM,AKAM:US,63,0.18,0.13,0.16,0.19,0.1,1,0.12,USD
ALL,ALL:US,88,0.02,0.01,0.07,0.18,0.17,1,0.09,USD
ALTR,ALTR:US,24,0.09,0.19,0.14,0.17,0.03,1,0.12,USD
ALXN,ALXN:US,86,0.17,0.07,0.02,0.08,0.16,1,0.12,USD
AMAT,AMAT:US,49,0.01,0.13,0.06,0.05,0.13,1,0.16,USD
AMD,AMD:US,31,0.02,0.12,0.03,0.09,0.15,1,0.18,USD
AMGN,AMGN:US,25,0.17,0.19,0.1,0.03,0.06,1,0.2,USD
AMP,AMP:US,90,0.11,0.08,0.07,0.16,0.18,1,0.06,USD
AMT,AMT:US,85,0.11,0.09,0.13,0.07,0.12,1,0.05,USD
AMZN,AMZN:US,46,0.19,0.05,0.12,0.17,0.02,1,0.06,USD
AN,AN:US,39,0.02,0.11,0.12,0.07,0.06,1,0.03,USD
ANF,ANF:US,100,0.13,0.05,0.09,0.03,0.2,1,0.01,USD
AON,AON:US,71,0.05,0.19,0.01,0.03,0.09,1,0.05,USD
APA,APA:US,35,0.08,0.07,0.2,0.19,0.17,1,0.02,USD
APC,APC:US,68,0.15,0.18,0.02,0.15,0.02,1,0.12,USD
APD,APD:US,5,0.08,0.03,0.17,0.02,0.18,1,0.11,USD
APH,APH:US,52,0.03,0.18,0.01,0.2,0.18,1,0.1,USD
APOL,APOL:US,28,0.11,0.04,0.08,0.2,0.19,1,0.2,USD
ARG,ARG:US,52,0.11,0.16,0.17,0.17,0.11,1,0.13,USD
ATI,ATI:US,49,0.17,0.05,0.14,0.09,0.05,1,0.17,USD
AVB,AVB:US,50,0.16,0.07,0.17,0.03,0.18,1,0.04,USD
AVP,AVP:US,27,0.06,0.15,0.09,0.01,0.19,1,0.14,USD
AVY,AVY:US,14,0.07,0.06,0.14,0.11,0.01,1,0.2,USD
AXP,AXP:US,3,0.12,0.01,0.07,0.17,0.1,1,0.19,USD
AZO,AZO:US,39,0.06,0.2,0.11,0.07,0.16,1,0.1,USD
BA,BA:US,22,0.03,0.15,0.06,0.19,0.14,1,0.06,USD
BAC,BAC:US,97,0.14,0.13,0.16,0.13,0.06,1,0.02,USD
BAX,BAX:US,86,0.12,0.04,0.04,0.04,0.07,1,0.06,USD
BBBY,BBBY:US,80,0.06,0.12,0.1,0.13,0.06,1,0.19,USD
BBT,BBT:US,100,0.1,0.16,0.11,0.01,0.1,1,0.1,USD
BBY,BBY:US,99,0.08,0.05,0.19,0.15,0.13,1,0.01,USD
BCR,BCR:US,74,0.13,0.03,0.08,0.02,0.02,1,0.01,USD
BDX,BDX:US,9,0.19,0.04,0.16,0.06,0.05,1,0.1,USD
BEAM,BEAM:US,11,0.01,0.06,0.13,0.2,0.16,1,0.13,USD
BEN,BEN:US,8,0.12,0.01,0.07,0.12,0.11,1,0.1,USD
BF.B,BF.B:US,49,0.19,0.13,0.13,0.14,0.18,1,0.15,USD
BHI,BHI:US,47,0.16,0.11,0.05,0.16,0.06,1,0.06,USD
BIG,BIG:US,31,0.1,0.05,0.05,0.03,0.03,1,0.13,USD
BIIB,BIIB:US,48,0.03,0.01,0.02,0.03,0.08,1,0.16,USD
BK,BK:US,93,0.19,0.09,0.11,0.03,0.07,1,0.04,USD
BLK,BLK:US,71,0.13,0.17,0.14,0.13,0.06,1,0.1,USD
BLL,BLL:US,7,0.03,0.07,0.16,0.03,0.11,1,0.08,USD
BMC,BMC:US,44,0.14,0.2,0.12,0.19,0.14,1,0.06,USD
BMS,BMS:US,30,0.06,0.19,0.06,0.01,0.09,1,0.05,USD
BMY,BMY:US,1,0.08,0.13,0.2,0.1,0.13,1,0.03,USD
BRCM,BRCM:US,39,0.16,0.16,0.19,0.04,0.14,1,0.01,USD
BRK.B,BRK.B:US,38,0.18,0.04,0.14,0.16,0.2,1,0.07,USD
BSX,BSX:US,21,0.1,0.01,0.06,0.13,0.15,1,0.15,USD
BTU,BTU:US,96,0.15,0.01,0.2,0.16,0.03,1,0.19,USD
BWA,BWA:US,18,0.15,0.11,0.19,0.02,0.03,1,0.1,USD
BXP,BXP:US,16,0.05,0.2,0.08,0.08,0.15,1,0.01,USD
C,C:US,14,0.05,0.09,0.19,0.04,0.18,1,0.09,USD
CA,CA:US,82,0.19,0.07,0.19,0.02,0.1,1,0.13,USD
CAG,CAG:US,92,0.2,0.08,0.19,0.12,0.05,1,0.11,USD
CAH,CAH:US,95,0.17,0.02,0.18,0.16,0.16,1,0.01,USD
CAM,CAM:US,76,0.17,0.1,0.06,0.1,0.1,1,0.15,USD
CAT,CAT:US,98,0.11,0.14,0.01,0.01,0.17,1,0.05,USD
CB,CB:US,77,0.04,0.15,0.18,0.14,0.16,1,0.03,USD
CBG,CBG:US,2,0.13,0.18,0.19,0.18,0.06,1,0.05,USD
CBS,CBS:US,73,0.03,0.09,0.19,0.1,0.1,1,0.15,USD
CCE,CCE:US,70,0.08,0.09,0.02,0.17,0.01,1,0.09,USD
CCI,CCI:US,63,0.05,0.02,0.1,0.19,0.06,1,0.01,USD
CCL,CCL:US,17,0.16,0.2,0.17,0.2,0.12,1,0.1,USD
CELG,CELG:US,3,0.17,0.11,0.06,0.02,0.11,1,0.14,USD
CERN,CERN:US,43,0.05,0.15,0.09,0.06,0.08,1,0.19,USD
CF,CF:US,29,0.12,0.19,0.04,0.06,0.13,1,0.01,USD
CFN,CFN:US,52,0.11,0.1,0.14,0.17,0.14,1,0.02,USD
CHK,CHK:US,36,0.15,0.16,0.03,0.08,0.17,1,0.05,USD
CHRW,CHRW:US,21,0.05,0.05,0.01,0.07,0.08,1,0.11,USD
